dateTime,dateTime,heatContent
2011-01-02 12:00:00,2011-01-02 12:00:00,3675501062.115296
2011-01-03 12:00:00,2011-01-03 12:00:00,3786628464.0396767
2011-01-04 12:00:00,2011-01-04 12:00:00,3810545147.362245
2011-01-05 12:00:00,2011-01-05 12:00:00,3715356242.2802963
2011-01-06 12:00:00,2011-01-06 12:00:00,3476994449.9842367
2011-01-07 12:00:00,2011-01-07 12:00:00,3627911709.0479503
2011-01-08 12:00:00,2011-01-08 12:00:00,3721732844.984497
2011-01-09 12:00:00,2011-01-09 12:00:00,3710176792.2161264
2011-01-10 12:00:00,2011-01-10 12:00:00,3568613738.8813686
2011-01-11 12:00:00,2011-01-11 12:00:00,3487842242.6740675
2011-01-12 12:00:00,2011-01-12 12:00:00,3458140855.8219204
2011-01-13 12:00:00,2011-01-13 12:00:00,3423785951.2094536
2011-01-14 12:00:00,2011-01-14 12:00:00,3420722904.6846876
2011-01-15 12:00:00,2011-01-15 12:00:00,3483246156.699266
2011-01-16 12:00:00,2011-01-16 12:00:00,3446467878.3988566
2011-01-17 12:00:00,2011-01-17 12:00:00,3424290051.9370255
2011-01-18 12:00:00,2011-01-18 12:00:00,3414649268.246186
2011-01-19 12:00:00,2011-01-19 12:00:00,3380022542.4217906
2011-01-20 12:00:00,2011-01-20 12:00:00,3378583326.78298
2011-01-21 12:00:00,2011-01-21 12:00:00,3402875645.320393
2011-01-22 12:00:00,2011-01-22 12:00:00,3348142677.359046
2011-01-23 12:00:00,2011-01-23 12:00:00,3343042561.466468
2011-01-24 12:00:00,2011-01-24 12:00:00,3374025737.335526
2011-01-25 12:00:00,2011-01-25 12:00:00,3388029681.310979
2011-01-26 12:00:00,2011-01-26 12:00:00,3260102925.6419334
2011-01-27 12:00:00,2011-01-27 12:00:00,3378263975.1079597
2011-01-28 12:00:00,2011-01-28 12:00:00,3361595506.7490826
2011-01-29 12:00:00,2011-01-29 12:00:00,3310872041.4778423
2011-01-30 12:00:00,2011-01-30 12:00:00,3600916354.316481
2011-01-31 12:00:00,2011-01-31 12:00:00,3586959876.906916
2011-02-01 12:00:00,2011-02-01 12:00:00,3579255905.73489
2011-02-02 12:00:00,2011-02-02 12:00:00,3524198276.452515
2011-02-03 12:00:00,2011-02-03 12:00:00,3392685013.380257
2011-02-04 12:00:00,2011-02-04 12:00:00,3377188949.01852
2011-02-05 12:00:00,2011-02-05 12:00:00,3429171089.4524403
2011-02-06 12:00:00,2011-02-06 12:00:00,3447555929.123741
2011-02-07 12:00:00,2011-02-07 12:00:00,3308989367.6535625
2011-02-08 12:00:00,2011-02-08 12:00:00,3323197699.058374
2011-02-09 12:00:00,2011-02-09 12:00:00,3335017041.705946
2011-02-10 12:00:00,2011-02-10 12:00:00,3319509359.354786
2011-02-11 12:00:00,2011-02-11 12:00:00,3445583949.6567307
2011-02-12 12:00:00,2011-02-12 12:00:00,3434470032.414905
2011-02-13 12:00:00,2011-02-13 12:00:00,3434415274.3074284
2011-02-14 12:00:00,2011-02-14 12:00:00,3476131172.00167
2011-02-15 12:00:00,2011-02-15 12:00:00,3578301314.5633388
2011-02-16 12:00:00,2011-02-16 12:00:00,3567221998.2896695
2011-02-17 12:00:00,2011-02-17 12:00:00,3572750842.69716
2011-02-18 12:00:00,2011-02-18 12:00:00,3551317832.3890533
2011-02-19 12:00:00,2011-02-19 12:00:00,3798504385.975821
2011-02-20 12:00:00,2011-02-20 12:00:00,3828795594.0137386
2011-02-21 12:00:00,2011-02-21 12:00:00,3775962839.695783
2011-02-22 12:00:00,2011-02-22 12:00:00,3710253497.7039785
2011-02-23 12:00:00,2011-02-23 12:00:00,3625165558.73705
2011-02-24 12:00:00,2011-02-24 12:00:00,3577314330.904054
2011-02-25 12:00:00,2011-02-25 12:00:00,3566713039.1771393
2011-02-26 12:00:00,2011-02-26 12:00:00,3549563281.5394616
2011-02-27 12:00:00,2011-02-27 12:00:00,3587752202.952644
2011-02-28 12:00:00,2011-02-28 12:00:00,3562095040.9512305
2011-03-01 12:00:00,2011-03-01 12:00:00,3563714481.863505
2011-03-02 12:00:00,2011-03-02 12:00:00,3532286583.0671616
2011-03-03 12:00:00,2011-03-03 12:00:00,3747910824.0541387
2011-03-04 12:00:00,2011-03-04 12:00:00,3751597262.1147366
2011-03-05 12:00:00,2011-03-05 12:00:00,3699537965.39232
2011-03-06 12:00:00,2011-03-06 12:00:00,3712684786.949746
2011-03-07 12:00:00,2011-03-07 12:00:00,3459817565.2663875
2011-03-08 12:00:00,2011-03-08 12:00:00,3449140933.3361993
2011-03-09 12:00:00,2011-03-09 12:00:00,3452769608.153057
2011-03-10 12:00:00,2011-03-10 12:00:00,3412821674.288094
2011-03-11 12:00:00,2011-03-11 12:00:00,3220234525.28934
2011-03-12 12:00:00,2011-03-12 12:00:00,3254648733.83582
2011-03-13 12:00:00,2011-03-13 12:00:00,3424201843.750935
2011-03-14 12:00:00,2011-03-14 12:00:00,3317789331.875888
2011-03-15 12:00:00,2011-03-15 12:00:00,3300334710.654705
2011-03-16 12:00:00,2011-03-16 12:00:00,3272151945.3929152
2011-03-17 12:00:00,2011-03-17 12:00:00,3292690889.5723834
2011-03-18 12:00:00,2011-03-18 12:00:00,3333347225.737026
2011-03-19 12:00:00,2011-03-19 12:00:00,3284853512.931533
2011-03-20 12:00:00,2011-03-20 12:00:00,3221535736.6983466
2011-03-21 12:00:00,2011-03-21 12:00:00,3161934982.0494065
2011-03-22 12:00:00,2011-03-22 12:00:00,3248685575.6075816
2011-03-23 12:00:00,2011-03-23 12:00:00,3200579997.2438097
2011-03-24 12:00:00,2011-03-24 12:00:00,3236053985.0192904
2011-03-25 12:00:00,2011-03-25 12:00:00,3252363599.914977
2011-03-26 12:00:00,2011-03-26 12:00:00,3283471871.370849
2011-03-27 12:00:00,2011-03-27 12:00:00,3472981065.5840564
2011-03-28 12:00:00,2011-03-28 12:00:00,3475037881.820593
2011-03-29 12:00:00,2011-03-29 12:00:00,3448050517.821753
2011-03-30 12:00:00,2011-03-30 12:00:00,3449877261.3849034
2011-03-31 12:00:00,2011-03-31 12:00:00,3189314338.891555
2011-04-01 12:00:00,2011-04-01 12:00:00,3092087491.1100335
2011-04-02 12:00:00,2011-04-02 12:00:00,3153937663.0143766
2011-04-03 12:00:00,2011-04-03 12:00:00,3167447289.672963
2011-04-04 12:00:00,2011-04-04 12:00:00,3115715449.5719075
2011-04-05 12:00:00,2011-04-05 12:00:00,3123842635.3811903
2011-04-06 12:00:00,2011-04-06 12:00:00,3102089445.689549
2011-04-07 12:00:00,2011-04-07 12:00:00,3082624021.9073753
2011-04-08 12:00:00,2011-04-08 12:00:00,3225454470.3239427
2011-04-09 12:00:00,2011-04-09 12:00:00,3232079485.5680313
2011-04-10 12:00:00,2011-04-10 12:00:00,3216073247.192535
2011-04-11 12:00:00,2011-04-11 12:00:00,3222419072.648013
2011-04-12 12:00:00,2011-04-12 12:00:00,3061955954.842711
2011-04-13 12:00:00,2011-04-13 12:00:00,3046472598.0766444
2011-04-14 12:00:00,2011-04-14 12:00:00,3048401982.930456
2011-04-15 12:00:00,2011-04-15 12:00:00,3066554783.561308
2011-04-16 12:00:00,2011-04-16 12:00:00,3010136412.078289
2011-04-17 12:00:00,2011-04-17 12:00:00,2975708991.9762683
2011-04-18 12:00:00,2011-04-18 12:00:00,2947029580.857221
2011-04-19 12:00:00,2011-04-19 12:00:00,2959904282.293939
2011-04-20 12:00:00,2011-04-20 12:00:00,2889892136.941673
2011-04-21 12:00:00,2011-04-21 12:00:00,2920063632.7733216
2011-04-22 12:00:00,2011-04-22 12:00:00,2937176983.2816367
2011-04-23 12:00:00,2011-04-23 12:00:00,2979676727.8226147
2011-04-24 12:00:00,2011-04-24 12:00:00,2703771125.970135
2011-04-25 12:00:00,2011-04-25 12:00:00,2753754377.447944
2011-04-26 12:00:00,2011-04-26 12:00:00,2860028654.1074905
2011-04-27 12:00:00,2011-04-27 12:00:00,2875741823.1282773
2011-04-28 12:00:00,2011-04-28 12:00:00,2893507666.9161854
2011-04-29 12:00:00,2011-04-29 12:00:00,2904953530.262469
2011-04-30 12:00:00,2011-04-30 12:00:00,2882799280.5484457
2011-05-01 12:00:00,2011-05-01 12:00:00,2848364131.1393576
2011-05-02 12:00:00,2011-05-02 12:00:00,2393765117.9998994
2011-05-03 12:00:00,2011-05-03 12:00:00,2605675587.2147098
2011-05-04 12:00:00,2011-05-04 12:00:00,2744034836.5330877
2011-05-05 12:00:00,2011-05-05 12:00:00,2788341809.1934385
2011-05-06 12:00:00,2011-05-06 12:00:00,2695361432.230205
2011-05-07 12:00:00,2011-05-07 12:00:00,2769568571.0473433
2011-05-08 12:00:00,2011-05-08 12:00:00,2813351490.690741
2011-05-09 12:00:00,2011-05-09 12:00:00,2807667595.0314646
2011-05-10 12:00:00,2011-05-10 12:00:00,2885533552.397678
2011-05-11 12:00:00,2011-05-11 12:00:00,2869513097.3732314
2011-05-12 12:00:00,2011-05-12 12:00:00,2817452394.468776
2011-05-13 12:00:00,2011-05-13 12:00:00,2806169215.160043
2011-05-14 12:00:00,2011-05-14 12:00:00,2794983802.3702803
2011-05-15 12:00:00,2011-05-15 12:00:00,2783865430.4676495
2011-05-16 12:00:00,2011-05-16 12:00:00,2766654648.1827474
2011-05-17 12:00:00,2011-05-17 12:00:00,2823795346.900747
2011-05-18 12:00:00,2011-05-18 12:00:00,2879303397.990961
2011-05-19 12:00:00,2011-05-19 12:00:00,2966887324.122991
2011-05-20 12:00:00,2011-05-20 12:00:00,3013142336.9202304
2011-05-21 12:00:00,2011-05-21 12:00:00,3067771438.4004436
2011-05-22 12:00:00,2011-05-22 12:00:00,3071123524.313725
2011-05-23 12:00:00,2011-05-23 12:00:00,3101981358.82394
2011-05-24 12:00:00,2011-05-24 12:00:00,3129463239.5038333
2011-05-25 12:00:00,2011-05-25 12:00:00,3126240566.386989
2011-05-26 12:00:00,2011-05-26 12:00:00,3035382467.751107
2011-05-27 12:00:00,2011-05-27 12:00:00,3155455401.9160976
2011-05-28 12:00:00,2011-05-28 12:00:00,3227477264.559184
2011-05-29 12:00:00,2011-05-29 12:00:00,3220836018.4984446
2011-05-30 12:00:00,2011-05-30 12:00:00,3100781105.550459
2011-05-31 12:00:00,2011-05-31 12:00:00,3089537908.777984
2011-06-01 12:00:00,2011-06-01 12:00:00,3094654809.0898275
2011-06-02 12:00:00,2011-06-02 12:00:00,3137977483.496612
2011-06-03 12:00:00,2011-06-03 12:00:00,2957637433.044842
2011-06-04 12:00:00,2011-06-04 12:00:00,2961291119.125105
